sat1,sat2,distance_km,rel_velocity,approach_rate,collision
IRIDIUM 33 DEB,COSMOS 2251 DEB,14.642748270952106,12.190459051842454,-5.34238723668024,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,6045.744,12.332,10.81,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5667.654,13.695,12.67,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6913.985,14.053,9.054,0
IRIDIUM 33,COSMOS 2251 DEB,10213.197,10.169,-2.862,0
IRIDIUM 33,COSMOS 2251 DEB,10201.362,9.7,9.105,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4004.796,14.792,8.677,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12430.696,7.691,2.404,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13519.995,12.022,-2.765,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,16.498545135027385,9.474123668234547,-18.858037107645497,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,2207.407,2.62,-0.331,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10612.479,14.623,-0.197,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,43.63729921429203,14.208724005318132,-11.298706882432832,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,0.8441304612939398,5.3668320289059785,-14.40967224481529,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,10581.552,13.356,-0.47,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7402.371,12.782,-12.41,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13809.403,3.596,2.69,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4757.659,14.313,-11.589,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8476.625,10.879,0.269,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5739.969,4.107,-1.989,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10395.791,11.917,-0.233,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3890.524,1.905,0.145,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12960.524,13.779,-0.317,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8562.31,8.846,8.842,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6074.324,5.438,3.029,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2134.095,11.935,-5.055,0
IRIDIUM 33,COSMOS 2251 DEB,7042.277,7.198,-0.026,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12240.592,14.104,-2.73,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11551.749,5.607,-2.629,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13397.994,12.471,-1.115,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13996.394,14.584,0.057,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13.62751720024541,10.744731131799119,-13.704090246108166,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,10631.927,6.711,6.137,0
IRIDIUM 33,COSMOS 2251 DEB,10829.694,12.642,-5.146,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13431.674,4.37,-1.976,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5455.111,13.711,-9.174,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13002.309,8.875,2.994,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11864.383,12.418,0.87,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4353.111,6.314,-5.674,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13219.837,7.881,-4.219,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12747.143,7.08,-2.42,0
IRIDIUM 33 DEB,COSMOS 2251,6570.453,12.476,-12.436,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2511.373,1.815,0.05,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12079.504,10.003,0.463,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13786.405,12.057,0.766,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10655.868,12.151,-6.619,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12189.368,12.438,-2.458,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10613.523,10.869,-8.109,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3355.891,3.886,0.038,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12662.037,13.528,2.319,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11.183140861093737,10.65133183589209,-18.431482394983995,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,7909.681,7.917,-1.087,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10986.034,9.124,-6.393,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13452.04,14.381,0.102,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11275.007,14.299,-3.282,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11352.03,10.357,-3.664,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4680.147,5.009,-1.165,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,47.052699925469256,9.626797856696065,-6.970652480665839,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,4425.503,13.763,-13.645,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10457.273,8.966,8.966,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3269.156,14.818,-8.163,0
IRIDIUM 33,COSMOS 2251 DEB,14385.011,6.608,-0.947,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12965.758,11.382,2.555,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2159.373,1.75,0.33,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13508.401,10.404,2.138,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2730.951,5.003,-4.982,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13773.03,14.056,0.115,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9601.699,13.571,5.799,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9894.725,12.895,5.62,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12553.866,13.386,-0.228,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,23.075464218743278,13.383287047111379,-5.8360026632984905,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,12590.247,13.131,-0.068,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5858.163,5.848,-0.046,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8174.502,3.234,-1.06,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12476.916,12.22,4.708,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13711.906,13.626,-1.307,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7876.814,12.581,11.727,0
IRIDIUM 33 DEB,COSMOS 2251,10035.819,11.011,10.245,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7901.833,7.058,4.08,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9474.324,6.227,4.355,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4769.725,13.239,-13.234,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2579.203,14.574,-12.668,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2411.888,2.512,-2.135,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12300.604,6.599,-4.233,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,20.74317074850636,10.912754357449293,-12.103960085958303,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,13839.934,14.437,-0.082,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5079.563,0.852,0.296,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,42.72396804563432,11.242379959139921,-10.75024528218893,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,13208.048,13.222,-1.001,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,40.60061303661945,13.464522917345182,-7.098164042161931,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,13816.292,11.864,1.996,0
IRIDIUM 33 DEB,COSMOS 2251,7152.319,12.125,8.086,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4073.186,7.186,2.666,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6379.301,14.147,-4.432,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5564.81,5.655,-0.126,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13124.564,14.521,0.267,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5353.488,13.867,2.34,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12920.579,13.987,-0.438,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,1765.397,13.064,12.606,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12158.719,5.229,4.093,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8520.913,14.0,-7.018,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10988.702,13.411,2.529,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13574.782,14.406,0.235,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7456.827,11.313,-10.532,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,40.81618988815232,5.270959925034835,-14.611499459003515,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,8218.266,11.951,-11.173,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14186.915,2.934,0.497,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8019.738,12.509,11.315,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13909.975,10.453,0.197,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11890.605,14.605,-2.499,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10798.855,14.496,3.262,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11224.382,13.96,3.733,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9595.533,11.629,10.691,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12150.381,8.179,-3.28,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11.71154087229793,10.245113895702547,-16.102946284037603,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,25.50999243616893,6.814354350897974,-19.449928595996855,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,5454.145,14.548,-7.079,0
IRIDIUM 33,COSMOS 2251 DEB,9014.183,6.075,-3.693,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13222.747,10.516,-2.525,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,1994.553,14.877,9.565,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8801.736,14.329,3.783,0
IRIDIUM 33,COSMOS 2251 DEB,9483.586,7.763,4.971,0
IRIDIUM 33 DEB,COSMOS 2251,6659.898,13.763,-8.638,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12549.158,13.2,-0.058,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2812.86,14.871,-7.902,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14222.187,2.111,0.297,0
IRIDIUM 33 DEB,COSMOS 2251,9440.212,7.086,3.681,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8550.255,9.255,-0.269,0
IRIDIUM 33 DEB,COSMOS 2251,12336.684,11.13,5.628,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,1445.613,14.343,0.429,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9985.337,11.825,9.112,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14237.056,7.119,-2.353,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7034.418,14.155,3.294,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12757.831,3.424,3.37,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10476.169,9.008,-8.999,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13380.776,14.403,-0.977,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10513.175,11.209,0.035,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14022.436,14.921,-0.015,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8191.44,10.766,3.423,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8299.504,2.835,2.034,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5316.29,6.522,-0.747,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4495.845,11.778,7.211,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11.782790545826114,11.18254771530296,-10.171370290414675,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,10389.712,14.877,-2.208,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10377.96,11.018,-0.614,0
IRIDIUM 33,COSMOS 2251 DEB,3978.785,14.433,12.685,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10156.627,12.045,8.314,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4968.09,4.429,2.768,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14006.505,14.562,-0.079,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13777.796,8.78,0.688,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7488.433,12.729,-6.147,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11035.207,8.164,7.342,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2678.068,7.891,-2.062,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13252.359,14.422,-0.116,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9398.029,6.093,4.587,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,16.378613216100923,7.459577283845081,-7.517987330633872,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,5098.981,13.435,-10.539,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7464.66,4.726,0.251,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7952.858,12.573,-11.308,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12469.258,11.478,5.167,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10127.57,11.426,9.859,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9246.68,13.699,3.027,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14101.862,14.822,0.008,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3496.609,3.774,0.368,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9418.601,14.396,0.282,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5564.825,6.04,-0.474,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11022.867,8.858,-8.857,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12957.26,6.52,-5.452,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4845.883,10.065,1.365,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3764.759,5.218,-1.527,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12215.345,9.121,-7.247,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11266.422,11.859,-0.884,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6370.267,13.297,-12.918,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8643.041,10.064,0.361,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12050.712,12.73,-0.209,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4123.679,6.858,3.319,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6377.202,12.298,10.804,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7063.004,12.689,-4.484,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,23.971604539822597,10.805883502780436,-18.917023865312363,1
IRIDIUM 33,COSMOS 2251 DEB,12366.448,12.65,0.314,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12090.966,13.327,-0.089,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7192.301,6.286,0.122,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9692.787,11.72,9.088,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8656.635,11.795,7.055,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,16.879452230206134,9.926180939928695,-13.736288363226075,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,13777.635,12.383,-0.018,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10925.772,12.306,-5.604,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12780.563,13.255,-0.228,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12525.066,12.984,0.497,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9761.01,12.23,-8.423,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5751.68,13.546,9.515,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12671.83,6.572,-6.176,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8898.703,7.107,-1.551,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11443.198,14.209,-3.254,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7173.817,10.77,0.698,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,30.786718288757783,10.94130715352135,-9.538695991297402,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,11983.682,8.202,2.17,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4526.611,5.009,-0.062,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11663.644,10.549,0.5,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13625.212,3.409,3.303,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13382.565,13.396,0.435,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,27.50803107113878,9.40762746938228,-10.526596698612192,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,5594.232,7.905,4.535,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4571.621,6.43,5.345,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4741.363,6.228,-2.801,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11705.57,6.803,5.985,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10078.022,14.542,-0.129,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6949.797,12.541,0.878,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11789.537,8.0,-7.85,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7818.647,12.868,-11.578,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12466.669,6.888,-6.426,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12.243829831091604,14.29529144247826,-16.688455808168595,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,4.6649282672549175,5.5182353682242695,-19.631196253117977,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,3481.253,8.442,-7.726,0
IRIDIUM 33 DEB,COSMOS 2251,6280.222,4.889,0.007,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12971.75,4.66,-4.553,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9435.213,4.928,-2.736,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,1110.852,1.809,-0.959,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9851.769,11.028,-10.524,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13640.705,3.065,-0.141,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6733.155,6.636,0.212,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3784.162,10.668,-9.887,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13924.216,1.832,0.125,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12459.985,13.537,1.234,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12030.644,14.097,0.44,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11867.682,9.812,4.356,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12484.424,10.985,1.95,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13214.175,8.425,4.0,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7246.024,4.167,-0.706,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13174.306,14.653,-1.065,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13349.086,10.308,2.151,0
IRIDIUM 33,COSMOS 2251 DEB,5250.675,13.047,9.645,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11466.225,8.368,-8.358,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10852.117,9.36,-9.192,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,16.76889499581084,14.484533069621566,-18.168351289849596,1
IRIDIUM 33,COSMOS 2251 DEB,11746.832,13.103,0.701,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11687.35,7.884,2.007,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11765.035,13.987,2.764,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4875.77,11.254,-11.029,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12837.662,10.45,-5.167,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12881.521,11.036,-3.964,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8015.771,14.012,-6.953,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12.83996534286931,9.607787680327258,-17.39157126170769,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,24.94288202003734,9.739616402628723,-17.352079519917375,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,9410.995,11.38,-7.072,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8840.169,6.433,-1.447,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6533.527,11.704,11.384,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10131.957,8.048,-4.128,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,7694.847,7.959,0.017,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13039.523,12.956,3.448,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13171.511,11.916,-2.233,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13618.879,3.932,-3.259,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12513.841,3.055,1.539,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10856.788,10.928,-1.067,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8146.198,11.329,11.327,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,14254.331,13.582,-0.213,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,11632.12,6.246,6.193,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13433.66,12.697,-1.666,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10283.867,10.439,-5.497,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,2883.885,3.287,-3.106,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8499.097,11.951,11.595,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10485.353,8.364,1.732,0
IRIDIUM 33,COSMOS 2251 DEB,9917.313,11.804,9.189,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,10552.273,11.105,-0.135,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,6831.643,13.428,12.067,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,5781.856,5.853,0.279,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13312.296,10.287,-1.302,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8.222922701900607,11.847311725538793,-7.901582782078254,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,45.070693829584854,10.07610378684455,-14.811754145705649,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,1124.371,2.639,-2.294,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,13366.225,14.888,0.288,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,1093.818,9.407,8.619,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,8704.273,9.403,5.778,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,9963.297,10.793,10.17,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,3162.188,14.849,8.555,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,24.973805082777783,12.998552559473152,-17.774851985568667,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,13236.227,9.011,4.154,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,12117.487,5.488,5.466,0
IRIDIUM 33 DEB,COSMOS 2251,11657.355,9.379,6.976,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,4865.012,14.165,11.948,0
IRIDIUM 33 DEB,COSMOS 2251 DEB,27.261438519700274,10.762883601668133,-19.220430745227915,1
IRIDIUM 33 DEB,COSMOS 2251 DEB,7508.113,12.32,9.86,0
